movie:year:imdb:metascore:votes
Logan:2017:8.1:77:827K
"Thor: Ragnarok":2017:7.9:74:813K
Guardians of the Galaxy Vol. 2:2017:7.6:67:756K
Dunkirk:2017:7.8:94:736K
"Spider-Man: Homecoming":2017:7.4:73:716K
Wonder Woman:2017:7.3:76:698K
Get Out:2017:7.8:85:691K
"Star Wars: Episode VIII - The Last Jedi":2017:6.9:84:670K
Blade Runner 2049:2017:8.0:81:658K
 Baby Driver:2017:7.5:86:605K
 It:2017:7.3:69:603K
 Coco:2017:8.4:81:586K
 Three Billboards Outside Ebbing, Missouri:2017:8.1:88:553K
" John Wick: Chapter 2":2017:7.4:75:509K
 Justice League:2017:6.1:45:477K
 The Shape of Water:2017:7.3:87:446K
" Jumanji: Welcome to the Jungle":2017:6.9:58:436K
" Kingsman: The Golden Circle":2017:6.7:44:361K
" Kong: Skull Island":2017:6.7:62:345K
" Pirates of the Caribbean: Salazar's Revenge":2017:6.5:39:344K
 Beauty and the Beast:2017:7.1:65:333K
 Lady Bird:2017:7.4:93:326K
 Call Me by Your Name:2017:7.8:94:313K
 The Greatest Showman:2017:7.5:48:310K
" Alien: Covenant":2017:6.4:65:302K
 Murder on the Orient Express:2017:6.5:52:295K
 War for the Planet of the Apes:2017:7.4:82:280K
 Wind River:2017:7.7:73:279K
 Fast & Furious 8:2017:6.6:56:253K
 Life:2017:6.6:54:252K
 Mother!:2017:6.6:76:249K
 The Hitman's Bodyguard:2017:6.9:47:246K
 I, Tonya:2017:7.5:77:242K
" King Arthur: Legend of the Sword":2017:6.7:41:232K
 Ghost in the Shell:2017:6.3:52:227K
 Darkest Hour:2017:7.4:75:220K
 American Made:2017:7.1:65:207K
 Atomic Blonde:2017:6.7:63:206K
 The Mummy:2017:5.4:34:206K
 Baywatch:2017:5.5:37:201K
 Bright:2017:6.3:29:201K
"Avengers: Infinity War":2018:8.4:68:1.2M
Black Panther:2018:7.3:88:834K
"Spider-Man: Into the Spider-Verse":2018:8.4:87:665K
Deadpool 2:2018:7.6:66:642K
Bohemian Rhapsody:2018:7.9:49:589K
A Quiet Place:2018:7.5:82:580K
Green Book:2018:8.2:69:565K
Venom:2018:6.6:35:535K
Aquaman:2018:6.8:55:519K
 Ready Player One:2018:7.4:64:483K
 Ant-Man and the Wasp:2018:7.0:70:447K
 A Star Is Born:2018:7.6:88:417K
 Bird Box:2018:6.6:51:384K
" Solo: A Star Wars Story":2018:6.9:62:378K
" Mission: Impossible - Fallout":2018:7.7:87:377K
 Hereditary:2018:7.3:87:375K
 Annihilation:2018:6.8:79:359K
" Jurassic World: Fallen Kingdom":2018:6.1:51:342K
 Incredibles 2:2018:7.5:80:329K
" Fantastic Beasts: The Crimes of Grindelwald":2018:6.5:52:307K
 BlacKkKlansman:2018:7.5:83:290K
 Game Night:2018:6.9:66:255K
 Ocean's Eight:2018:6.3:61:241K
 The Favourite:2018:7.5:91:230K
 Tomb Raider:2018:6.3:48:226K
 The Meg:2018:5.7:46:207K
